Date;SE1 [MWh];SE2 [MWh];SE3 [MWh];SE4 [MWh]
1963-01-01;16212;27009;5780;734
1963-01-02;11600;26883;5673;696
1963-01-03;8823;26195;5552;655
1963-01-04;9204;24376;5713;867
1963-01-05;7323;24147;7415;759
1963-01-06;6886;24687;5361;596
1963-01-07;6951;31000;5246;565
1963-01-08;5814;29964;5243;545
1963-01-09;7427;24512;5166;525
1963-01-10;6689;21125;4915;504
1963-01-11;8989;21626;4974;486
1963-01-12;11554;32161;4903;468
1963-01-13;7646;23752;4908;547
1963-01-14;6378;19537;4777;462
1963-01-15;5586;18917;4608;424
1963-01-16;5676;18677;4625;405
1963-01-17;6997;19604;4823;389
1963-01-18;7285;19693;4374;374
1963-01-19;5986;17937;4360;360
1963-01-20;8718;17638;4284;346
1963-01-21;7013;20048;4175;333
1963-01-22;6727;21357;4074;320
1963-01-23;10775;25828;4009;308
1963-01-24;6960;21612;3940;297
1963-01-25;10279;26092;5361;768
1963-01-26;7265;20601;3863;361
1963-01-27;7057;17930;3832;271
1963-01-28;7158;16362;3781;261
1963-01-29;12937;17529;3700;252
1963-01-30;8664;16460;3738;248
1963-01-31;6035;15455;3579;241
1963-02-01;6677;14988;3689;262
1963-02-02;7883;16978;3849;396
1963-02-03;7473;17103;6526;347
1963-02-04;11423;19947;4772;333
1963-02-05;9994;17478;3866;199
1963-02-06;6802;16054;3397;195
1963-02-07;5443;14476;3273;185
1963-02-08;5381;13631;3421;178
1963-02-09;7392;13315;3413;172
1963-02-10;6452;12924;3225;166
1963-02-11;7965;13149;3513;160
1963-02-12;5651;12963;3655;279
1963-02-13;7852;12885;4950;371
1963-02-14;6454;12710;3187;319
1963-02-15;6724;15555;3146;239
1963-02-16;4127;14492;3155;304
1963-02-17;4019;11537;3016;148
1963-02-18;4517;13540;2981;131
1963-02-19;9597;13476;2917;127
1963-02-20;9079;13832;2860;121
1963-02-21;5390;11899;2832;117
1963-02-22;8039;15089;2732;113
1963-02-23;12468;13268;2890;108
1963-02-24;4630;20330;3260;105
1963-02-25;4925;13239;3080;101
1963-02-26;4382;10866;2727;98
1963-02-27;6578;11082;2717;94
1963-02-28;5999;10474;2549;91
1963-03-01;4937;11442;2420;88
1963-03-02;9070;17966;2589;84
1963-03-03;5276;12171;2650;81
1963-03-04;6185;12401;2575;77
1963-03-05;6005;13353;3066;148
1963-03-06;7752;19887;2832;307
1963-03-07;9184;17827;3377;637
1963-03-08;5493;12884;2971;440
1963-03-09;5621;12512;3074;643
1963-03-10;8238;12226;3240;732
1963-03-11;5554;12059;3946;600
1963-03-12;5352;12297;3096;1312
1963-03-13;5684;11548;2744;885
1963-03-14;5523;11169;2653;839
